"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
1700,132,20200805,2020,59.98672,-48.89686,2759.804,1.609,20.1261282207107,14.1257817927184,1.60899999929949,4.90711903613715e-19,TRUE
1701,132,20200805,2020,59.9871,-48.89704,2639.841,1.476,21.8772634244937,14.0721985109991,1.47599999934668,4.26826526693425e-19,TRUE
1702,132,20200805,2020,59.98736,-48.89748,2499.541,1.111,26.5926049237946,11.8176946492519,1.11099999934945,4.2321537831203e-19,TRUE
1703,132,20200805,2020,59.98748,-48.89766,2339.767,1.228,24.8831784618379,12.6536862407576,1.22799999883194,1.36436438107644e-18,TRUE
1704,132,20200805,2020,59.98776,-48.8977,2159.9,1.36,22.9549253402796,13.5615795486156,1.35999996610195,1.14907751758733e-15,TRUE
1705,132,20200805,2020,59.98774,-48.89726,1979.085,1.45,21.6054586463429,14.2036147776074,1.44999999936556,4.02507986284538e-19,TRUE
1706,132,20200805,2020,59.98784,-48.89702,1779.431,1.673,18.1019423671778,14.6173451924705,1.67299999939079,3.71136031680858e-19,TRUE
1707,132,20200805,2020,59.98802,-48.89698,1580.24,1.855,15.5865572084863,15.0822782867042,1.85499999867819,1.7471804883292e-18,TRUE
1708,132,20200805,2020,59.9882,-48.89704,1380.431,2.464,16.9882389155198,16.9880951143188,1.81745839852978,0.418016042431676,FALSE
1710,132,20200805,2020,59.98876,-48.8976,979.978,2.573,17.2425183308517,17.2423571011168,1.81070680547265,0.58109091442271,FALSE
1711,132,20200805,2020,59.98882,-48.89853,800.003,2.533,17.129862883606,17.1295025240735,1.79871551689553,0.539173702127996,FALSE
1712,132,20200805,2020,59.98872,-48.8983,639.673,2.573,17.2738851869044,17.2736092538114,1.7797978968556,0.629169576432695,FALSE
1713,132,20200805,2020,59.989,-48.89848,500.503,2.675,18.0035561340505,18.002846519878,1.7406916223947,0.872932144463443,FALSE
1714,132,20200805,2020,59.9889,-48.89832,380.605,2.875,18.781686394263,18.7802344165876,1.70055869495254,1.37931237900159,FALSE
1715,132,20200805,2020,59.98884,-48.89834,260.102,3.058,19.386355700176,19.386060181848,1.65154823920222,1.97810655545118,FALSE
1716,132,20200805,2020,59.98895,-48.89846,170.371,2.665,18.5736871831055,18.573030262811,1.61732401216043,1.09762497549561,FALSE
1717,132,20200805,2020,59.989,-48.89844,99.725,2.825,19.3863612161124,19.3807026837044,1.52264941507233,1.69611704606144,FALSE
1718,132,20200805,2020,59.98894,-48.89834,50.288,3.025,18.8182758667683,18.8165150622062,1.46387164662921,2.43712173569821,FALSE
1719,132,20200805,2020,59.9889,-48.89836,24.646,2.979,18.7036888181899,18.7029587722268,1.42944230488357,2.40112905049453,FALSE
1720,132,20200805,2020,59.98872,-48.89834,2.72,2.914,19.4381605590103,18.1782057792723,1.37145687460003,2.37943929371871,FALSE
1721,136,20200806,2020,60.17646,-48.69492,2896.871,2.102,14.9850785479126,14.98436403977,2.02909868358568,0.00531460193494028,FALSE
1722,136,20200806,2020,60.17668,-48.69524,2838.047,1.933,16.1644998345203,15.0010202377773,1.93300002799998,7.83998873853021e-16,TRUE
1723,136,20200806,2020,60.1768,-48.6954,2758.468,1.867,16.7967593632641,14.8827083610176,1.86699999941024,3.47814260482093e-19,TRUE
1724,136,20200806,2020,60.17714,-48.69638,2661.143,1.669,19.2706125637221,14.3479532532201,1.66899999931646,4.67220408489081e-19,TRUE
1725,136,20200806,2020,60.17744,-48.6981,2541.328,1.807,17.3773804004026,14.7684945941378,1.80699999939557,3.65338651949416e-19,TRUE
1726,136,20200806,2020,60.17746,-48.70069,2400.799,1.806,17.3146941627659,14.7808865798917,1.80599999940019,3.59777072494148e-19,TRUE
1727,136,20200806,2020,60.1772,-48.70278,2238.604,1.883,16.156929691141,15.0005198202013,1.88300002705589,7.32020941919558e-16,TRUE
1728,136,20200806,2020,60.17702,-48.70441,2059.606,1.839,16.5801710039787,14.9220632616594,1.83899999942659,3.28796465780887e-19,TRUE
1729,136,20200806,2020,60.1771,-48.7056,1859.553,1.876,15.8434053435475,15.0404719573151,1.87599999940654,3.52194973252236e-19,TRUE
1730,136,20200806,2020,60.17788,-48.7074,1661.645,1.804,16.6386461900747,14.9100456813907,1.80399999943579,3.18329930982834e-19,TRUE
1731,136,20200806,2020,60.17824,-48.70906,1459.017,1.97,14.991461780999,14.9913749939355,1.90561991838403,0.0041447949088784,FALSE
