"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
4572,215,20180517,2018,40.5762,-59.9538,1530,0.5242,35.0822793692143,6.62005698646051,0.524199999268434,5.35189018656179e-19,TRUE
4573,215,20180517,2018,40.5762,-59.9538,1249.5,0.8749,30.3016891743118,9.82241590716926,0.874899999428543,3.26563094662567e-19,TRUE
4574,215,20180517,2018,40.5762,-59.9538,970.2,0.9219,29.6694309758564,10.1916048242569,0.921899999135809,7.46825406891748e-19,TRUE
4575,215,20180517,2018,40.5762,-59.9538,700.1,0.9031,29.92203475464,10.0454696247797,0.903099972116628,7.77482418623978e-16,TRUE
4576,215,20180517,2018,40.5762,-59.9538,460.5,0.6451,33.4170013329706,7.82513526288553,0.645100012040692,1.44978269162035e-16,TRUE
4577,215,20180517,2018,40.5762,-59.9538,249.6,0.8798,30.235660320575,9.86150614388515,0.879799999356504,4.14087431847256e-19,TRUE
4579,215,20180517,2018,40.5762,-59.9538,50.1,1.9114,16.9721490486816,14.5108048147212,1.91139999898705,1.02607164195881e-18,TRUE
4580,215,20180517,2018,40.5762,-59.9538,25.1,1.9775,16.1655059599385,14.5620050212932,1.97749998940256,1.12305721211116e-16,TRUE
4581,215,20180517,2018,40.5762,-59.9538,3.9,1.8226,18.0359593134206,14.3426757931518,1.82259999815606,3.40009957699429e-18,TRUE
4582,221,20180517,2018,39.8895,-59.305,4616.7,0.3266,38.1124827254199,4.22815947348673,0.326600034567174,1.19488952685604e-15,TRUE
4583,221,20180517,2018,39.8895,-59.305,4518.4,0.4064,36.7980325626467,5.28080814486233,0.406399998586482,1.99803242191834e-18,TRUE
4584,221,20180517,2018,39.8895,-59.305,4348.8,0.4166,36.6419912151644,5.40559623793199,0.416599998593631,1.97787444845574e-18,TRUE
4585,221,20180517,2018,39.8895,-59.305,4225.8,0.3642,37.468765266249,4.74211965765248,0.36420000042285,1.78802009373153e-19,TRUE
4586,221,20180517,2018,39.8895,-59.305,4043.9,0.4358,36.3532914993976,5.6353363512309,0.435800063888814,4.08178053521661e-15,TRUE
4587,221,20180517,2018,39.8895,-59.305,3841.6,0.4542,36.0818712477584,5.84962327957438,0.454200021383265,4.57244040710857e-16,TRUE
4588,221,20180517,2018,39.8895,-59.305,3750.7,0.3755,37.2846196811535,4.89010488889571,0.375499999216998,6.13092039707834e-19,TRUE
4589,221,20180517,2018,39.8895,-59.305,3505.1,0.4236,36.5360176904032,5.49011693324443,0.423600127851884,1.63461041633709e-14,TRUE
4590,221,20180517,2018,39.8895,-59.305,3225.3,0.4205,36.5828431246757,5.45279555419836,0.420499998602404,1.9532742224532e-18,TRUE
4591,221,20180517,2018,39.8895,-59.305,2961.2,0.3456,37.7806769666762,4.49213216341725,0.345600007249887,5.25608618615215e-17,TRUE
4592,221,20180517,2018,39.8895,-59.305,2666.1,0.3644,37.4654730107364,4.74476390284615,0.364400000390367,1.5238658092077e-19,TRUE
4593,221,20180517,2018,39.8895,-59.305,2381.1,0.4218,36.5631850146508,5.46846867736456,0.421800141389195,1.99909043895221e-14,TRUE
4594,221,20180517,2018,39.8895,-59.305,2106.6,0.5544,34.6616739327682,6.93403868041826,0.554399999084711,8.37754685436872e-19,TRUE
4595,221,20180517,2018,39.8895,-59.305,1806.2,0.6328,33.5847981750766,7.70831772849288,0.632800020324125,4.13070054518826e-16,TRUE
4596,221,20180517,2018,39.8895,-59.305,1534.8,0.9075,29.8628788826743,10.0798542296627,0.907499850299462,2.24102511337343e-14,TRUE
4597,221,20180517,2018,39.8895,-59.305,1248.7,0.9542,29.2364747393192,10.4379043557131,0.954199985693443,2.04677571452438e-16,TRUE
4598,221,20180517,2018,39.8895,-59.305,966.2,0.8228,31.0051089491792,9.39807751427342,0.822799999327174,4.52695148112328e-19,TRUE
4599,221,20180517,2018,39.8895,-59.305,698.4,0.6461,33.4033678487385,7.83458202393188,0.646100011529229,1.32923129381713e-16,TRUE
4601,221,20180517,2018,39.8895,-59.305,248.9,1.5658,21.4219747312023,14.113783581949,1.56579999884954,1.32356422635779e-18,TRUE
4602,221,20180517,2018,39.8895,-59.305,99.5,1.4783,22.477627767542,13.6723838038332,1.47829999915187,7.19330917979205e-19,TRUE
4603,221,20180517,2018,39.8895,-59.305,50.4,1.5019,22.1896759986971,13.7918883553848,1.50189999912025,7.73965230452635e-19,TRUE
4604,221,20180517,2018,39.8895,-59.305,26.5,1.4644,22.6482108752699,13.6015456411922,1.46439999916534,6.96654548606742e-19,TRUE
4605,221,20180517,2018,39.8895,-59.305,3.4,1.5438,21.6841561803523,14.0028658195576,1.54379999899455,1.01093673711768e-18,TRUE
4606,232,20180518,2018,40.4975,-59.536,5139.2,0.3598,37.5415117425127,4.68371394129835,0.359800001285789,1.65325314622998e-18,TRUE
4607,232,20180518,2018,40.4975,-59.536,4950.2,0.2968,38.6655242580005,3.79581718591668,0.296799998361214,2.68561844836144e-18,TRUE
4608,232,20180518,2018,40.4975,-59.536,4748.7,0.3189,38.2512854272271,4.11862074384317,0.318900060300997,3.63621019583156e-15,TRUE
4609,232,20180518,2018,40.4975,-59.536,4530,0.347,37.7567828073956,4.51123368273093,0.347000006342772,4.02307577264748e-17,TRUE
4610,232,20180518,2018,40.4975,-59.536,4300.2,0.4499,36.1448909923241,5.80003478621682,0.449900027799265,7.72799156204177e-16,TRUE
4611,232,20180518,2018,40.4975,-59.536,4049.9,0.4641,35.9376423681251,5.96270546007994,0.46410001142768,1.30591863129751e-16,TRUE
4612,232,20180518,2018,40.4975,-59.536,3787.7,0.512,35.2536327883143,6.49033001097886,0.51199999959616,1.63087073163374e-19,TRUE
4613,232,20180518,2018,40.4975,-59.536,3519.3,0.436,36.3503154742462,5.63769557254555,0.436000063154894,3.98854058468543e-15,TRUE
4614,232,20180518,2018,40.4975,-59.536,3239.6,0.3971,36.9421427626508,5.16527703362572,0.39709999862033,1.90349035177448e-18,TRUE
4615,232,20180518,2018,40.4975,-59.536,2958.4,0.3866,37.1071769008253,5.03274007091762,0.386599998766986,1.52032276256014e-18,TRUE
4616,232,20180518,2018,40.4975,-59.536,2677.7,0.4293,36.4503478849426,5.55828868893892,0.429300092698989,8.59310252794693e-15,TRUE
4617,232,20180518,2018,40.4975,-59.536,2389.2,0.4312,36.4219091143549,5.5808857115882,0.431200083195794,6.9215401076203e-15,TRUE
4618,232,20180518,2018,40.4975,-59.536,2101.6,0.4881,35.5923872726166,6.23090762870065,0.488100001830066,3.34914111276138e-18,TRUE
4619,232,20180518,2018,40.4975,-59.536,1809.5,0.6011,34.018373369147,7.40171604062088,0.60110007395841,5.46984648471407e-15,TRUE
4620,232,20180518,2018,40.4975,-59.536,1528,0.7171,32.4376403733074,8.4870824519878,0.717099999877169,1.50874738802684e-20,TRUE
4621,232,20180518,2018,40.4975,-59.536,1251.3,0.9257,29.6184249934295,10.2208939616706,0.92569999893389,1.13658953845798e-18,TRUE
4622,232,20180518,2018,40.4975,-59.536,970.4,0.9926,28.7236277363289,10.7229186497046,0.992599999328661,4.50695584778766e-19,TRUE
4623,232,20180518,2018,40.4975,-59.536,698.6,0.8323,30.8766784858464,9.4766438351614,0.832300017728099,3.14285478011395e-16,TRUE
4624,232,20180518,2018,40.4975,-59.536,459.2,0.5882,34.1954203572965,7.27452861044185,0.588199999125458,7.64824476679936e-19,TRUE
4625,232,20180518,2018,40.4975,-59.536,248.5,0.9674,29.059944068111,10.5368302940285,0.967399999320623,4.6155371031707e-19,TRUE
4626,232,20180518,2018,40.4975,-59.536,100.1,1.4024,23.4169659397247,13.2794322770578,1.40239997679581,5.38434521791036e-16,TRUE
4627,232,20180518,2018,40.4975,-59.536,49.8,1.4854,22.3907712203867,13.7084257066822,1.48539999914381,7.33064371224812e-19,TRUE
4628,232,20180518,2018,40.4975,-59.536,23.5,2.0948,14.8007045438858,14.7512642426865,2.09479999912285,7.69388845305956e-19,TRUE
4629,232,20180518,2018,40.4975,-59.536,5.2,2.0246,15.6186663096718,14.6497557618058,2.02459999956146,1.92319555547173e-19,TRUE
4651,234,20180518,2018,41.0213,-60.337,4937.8,0.2834,38.9294415308184,3.59389478307759,0.283399998511404,2.2159189496721e-18,TRUE
4652,234,20180518,2018,41.0213,-60.337,4796.5,0.3859,37.1182731899305,5.02382286178014,0.385899998783734,1.47930279134268e-18,TRUE
4653,234,20180518,2018,41.0213,-60.337,4600.7,0.4274,36.4788448165003,5.53562858418268,0.4274001032357,1.06576096719064e-14,TRUE
4654,234,20180518,2018,41.0213,-60.337,4450.4,0.4364,36.3443652299565,5.64241198297356,0.436400061711074,3.80825667147045e-15,TRUE
4655,234,20180518,2018,41.0213,-60.337,4250.4,0.4925,35.5296805955618,6.27921757040479,0.492500001137671,1.29429583893827e-18,TRUE
4656,234,20180518,2018,41.0213,-60.337,4009.4,0.5322,34.970404116195,6.70419458942827,0.532199999166575,6.94597593544596e-19,TRUE
4657,234,20180518,2018,41.0213,-60.337,3749.4,0.3533,37.6501275618327,4.59661000269356,0.35330000324948,1.05591193076663e-17,TRUE
4658,234,20180518,2018,41.0213,-60.337,3471.4,0.4225,36.5526133100912,5.47689437810563,0.422500135968921,1.84875476017141e-14,TRUE
4659,234,20180518,2018,41.0213,-60.337,3181.8,0.394,36.9905994039171,5.12638266677229,0.39399999864738,1.829581958862e-18,TRUE
4660,234,20180518,2018,41.0213,-60.337,2890.4,0.4363,36.345852565367,5.641233133783,0.436300062069053,3.85256732758106e-15,TRUE
4661,234,20180518,2018,41.0213,-60.337,2600.7,0.4217,36.5646959524981,5.46726428426179,0.421700142180238,2.02152200381949e-14,TRUE
4662,234,20180518,2018,41.0213,-60.337,2310.5,0.4696,35.8580013800293,6.02489355160415,0.469600007916151,6.26654538832954e-17,TRUE
4663,234,20180518,2018,41.0213,-60.337,2020.4,0.4479,36.1742842187121,5.7768705382607,0.447900031358485,9.83354590395263e-16,TRUE
4664,234,20180518,2018,41.0213,-60.337,1731.3,0.6147,33.8321317608653,7.53426093532202,0.614700042819347,1.83349646432007e-15,TRUE
4665,234,20180518,2018,41.0213,-60.337,1437.8,0.7038,32.6182846025531,8.36747953871564,0.703800000351501,1.23553066543389e-19,TRUE
4666,234,20180518,2018,41.0213,-60.337,1159.1,1.0225,28.3258334745137,10.9390303736819,1.02249999942512,3.30485647591358e-19,TRUE
4667,234,20180518,2018,41.0213,-60.337,903.5,1.0877,27.4634439538652,11.3929386727418,1.08770000323862,1.04886554411032e-17,TRUE
4668,234,20180518,2018,41.0213,-60.337,660.3,0.8774,30.267997941995,9.84237741632031,0.877399999383348,3.8025976648886e-19,TRUE
4669,234,20180518,2018,41.0213,-60.337,440.6,0.6697,33.081929087261,8.05538436363221,0.669700003891092,1.51405969848391e-17,TRUE
4670,234,20180518,2018,41.0213,-60.337,248.6,1.0682,27.7206149931302,11.2596466341733,1.06820000086732,7.52239734466957e-19,TRUE
4671,234,20180518,2018,41.0213,-60.337,100.1,2.0385,15.4563178903232,14.6709315186229,2.03849999945269,2.99547965809849e-19,TRUE
4672,234,20180518,2018,41.0213,-60.337,50.4,2.1263,14.7515618498239,14.7515574158825,2.09886077168107,0.000752911250738308,FALSE
4673,234,20180518,2018,41.0213,-60.337,25,1.9188,16.8841345444939,14.5236388754346,1.91879999903076,9.39427941140609e-19,TRUE
4674,234,20180518,2018,41.0213,-60.337,2.8,1.892,17.2032241491095,14.4761020587378,1.89199999884743,1.32840848256832e-18,TRUE
4675,238,20180519,2018,41.7887,-60.9035,4502.2,0.4362,36.3473400515193,5.64005411627302,0.436200062429008,3.89738109764348e-15,TRUE
4676,238,20180519,2018,41.7887,-60.9035,4400.9,0.5139,35.2268834109849,6.51064885257904,0.513899999525564,2.25089140365356e-19,TRUE
4677,238,20180519,2018,41.7887,-60.9035,4249.9,0.8101,31.1769002292266,9.29221043162766,0.810099999327581,4.5214732415151e-19,TRUE
4678,238,20180519,2018,41.7887,-60.9035,4090.5,0.6992,32.6807853211329,8.32584062346114,0.69920000058937,3.47357124525311e-19,TRUE
4679,238,20180519,2018,41.7887,-60.9035,3918.5,0.7016,32.6481747528548,8.34758289819702,0.701600000459484,2.11125858214168e-19,TRUE
4680,238,20180519,2018,41.7887,-60.9035,3709.7,0.6829,32.9023588964719,8.17714420111828,0.682900001920248,3.68735137758307e-18,TRUE
