"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
1372,70,20200731,2020,55.41894,-53.81702,1610.797,1.861,19.7404673488922,14.4540195031108,1.86099999907865,8.4888602025689e-19,TRUE
1373,70,20200731,2020,55.41894,-53.81626,1409.626,2.452,15.1823976024233,15.1811983088275,2.26122229199021,0.0363961338734697,FALSE
1374,70,20200731,2020,55.41888,-53.81566,1210.871,2.66,16.4156791240557,16.4153266344378,2.19726510468664,0.21412358334067,FALSE
1375,70,20200731,2020,55.41885,-53.81534,1028.69,2.528,15.5638260642752,15.563354025045,2.24106025604374,0.0823344166616812,FALSE
1376,70,20200731,2020,55.41858,-53.81518,850.158,2.724,16.8462786395819,16.8460796203667,2.17577752713503,0.300547879754184,FALSE
1377,70,20200731,2020,55.41862,-53.81498,670.101,2.85,17.1545386021382,17.1531613048382,2.16060889591606,0.475260094390078,FALSE
1378,70,20200731,2020,55.41878,-53.81484,509.489,2.882,17.4709808203494,17.4707706150171,2.14533337395562,0.542677717927618,FALSE
1379,70,20200731,2020,55.41902,-53.81448,369.891,2.782,16.6688057408669,16.668618734088,2.18458497031762,0.356904717690401,FALSE
1381,70,20200731,2020,55.4194,-53.814,149.872,3.256,19.0382455787089,19.0288378311724,2.07226216553334,1.40123526074782,FALSE
1382,70,20200731,2020,55.4195,-53.81409,99.153,3.143,18.6245173169229,18.6219309813719,2.09121499582279,1.10625169501204,FALSE
1383,70,20200731,2020,55.41964,-53.81406,48.816,3.584,20.1447248261263,20.1413325011514,2.02396171796656,2.43371944140986,FALSE
1385,70,20200731,2020,55.41988,-53.81362,20.201,3.498,19.915527420988,19.9083934262052,2.03370091085191,2.14417182247993,FALSE
1387,70,20200731,2020,55.42,-53.8133,3.114,3.13,18.6271817441843,18.6269387037873,2.09117031988431,1.07916710428926,FALSE
